Date,BAC
01/10/2012,9.12
04/09/2012,8.83
01/08/2012,7.98
02/07/2012,7.33
01/06/2012,8.17
01/05/2012,7.34
02/04/2012,8.09
01/03/2012,9.55
01/02/2012,7.95
03/01/2012,7.1
01/12/2011,5.54
01/11/2011,5.42
03/10/2011,6.79
01/09/2011,6.08
01/08/2011,8.12
01/07/2011,9.64
01/06/2011,10.88
02/05/2011,11.66
01/04/2011,12.18
01/03/2011,13.23
01/02/2011,14.17
03/01/2011,13.61
01/12/2010,13.23
01/11/2010,10.85
01/10/2010,11.34
01/09/2010,12.98
02/08/2010,12.33
01/07/2010,13.9
01/06/2010,14.22
03/05/2010,15.57
01/04/2010,17.64
01/03/2010,17.66
01/02/2010,16.47
04/01/2010,15.01
01/12/2009,14.89
02/11/2009,15.66
01/10/2009,14.4
01/09/2009,16.71
03/08/2009,17.37
01/07/2009,14.6
01/06/2009,13.03
01/05/2009,11.12
01/04/2009,8.81
02/03/2009,6.73
02/02/2009,3.89
02/01/2009,6.47
01/12/2008,13.85
03/11/2008,15.63
01/10/2008,23.25
02/09/2008,33.66
01/08/2008,29.36
01/07/2008,31.02
02/06/2008,22.51
01/05/2008,31.45
01/04/2008,34.72
03/03/2008,35.06
01/02/2008,36.15
02/01/2008,40.16
03/12/2007,37.53
01/11/2007,41.36
01/10/2007,43.28
04/09/2007,45.07
01/08/2007,44.87
02/07/2007,41.98
01/06/2007,43.28
01/05/2007,44.89
02/04/2007,44.57
01/03/2007,44.67
01/02/2007,44.51
03/01/2007,45.53
01/12/2006,46.23
01/11/2006,46.63
02/10/2006,46.17
01/09/2006,45.91
01/08/2006,44.11
03/07/2006,43.69
01/06/2006,40.78
01/05/2006,41.04
03/04/2006,41.89
01/03/2006,38.21
01/02/2006,38.06
03/01/2006,36.71
01/12/2005,38.3
01/11/2005,38.09
03/10/2005,35.92
01/09/2005,34.57
01/08/2005,35.33
01/07/2005,35.39
01/06/2005,37.02
02/05/2005,37.23
01/04/2005,36.2
01/03/2005,35.44
01/02/2005,37.13
03/01/2005,36.91
01/12/2004,37.41
01/11/2004,36.47
01/10/2004,35.31
01/09/2004,34.16
02/08/2004,35.1
01/07/2004,33.17
01/06/2004,33.02
03/05/2004,32.12
01/04/2004,31.1
01/03/2004,31.29
02/02/2004,31.35
02/01/2004,31.17
01/12/2003,30.78
03/11/2003,28.57
01/10/2003,28.68
02/09/2003,29.55
01/08/2003,29.71
01/07/2003,30.95
02/06/2003,29.63
01/05/2003,27.58
01/04/2003,27.53
03/03/2003,24.85
03/02/2003,25.5
02/01/2003,25.79
02/12/2002,25.62
01/11/2002,25.57
01/10/2002,25.46
03/09/2002,23.28
01/08/2002,25.34
01/07/2002,24.04
03/06/2002,25.44
01/05/2002,27.19
01/04/2002,25.99
01/03/2002,24.39
01/02/2002,22.94
02/01/2002,22.39
03/12/2001,22.36
01/11/2001,21.6
01/10/2001,20.76
04/09/2001,20.55
01/08/2001,21.44
02/07/2001,22.18
01/06/2001,20.93
01/05/2001,20.66
02/04/2001,19.34
01/03/2001,18.91
01/02/2001,17.51
02/01/2001,18.39
01/12/2000,15.67
01/11/2000,13.64
02/10/2000,16.19
01/09/2000,17.65
01/08/2000,18.05
03/07/2000,15.81
01/06/2000,14.34
01/05/2000,18.49
03/04/2000,16.2
01/03/2000,17.33
01/02/2000,15.04
03/01/2000,15.84
