DATE,VALUE
01/01/1999,1.1591
01/02/1999,1.1203
01/03/1999,1.0886
01/04/1999,1.0701
01/05/1999,1.063
01/06/1999,1.0377
01/07/1999,1.037
01/08/1999,1.0605
01/09/1999,1.0497
01/10/1999,1.0706
01/11/1999,1.0328
01/12/1999,1.011
01/01/2000,1.0131
01/02/2000,0.9834
01/03/2000,0.9643
01/04/2000,0.9449
01/05/2000,0.9059
01/06/2000,0.9505
01/07/2000,0.9386
01/08/2000,0.9045
01/09/2000,0.8695
01/10/2000,0.8525
01/11/2000,0.8552
01/12/2000,0.8983
01/01/2001,0.9376
01/02/2001,0.9205
01/03/2001,0.9083
01/04/2001,0.8925
01/05/2001,0.8753
01/06/2001,0.853
01/07/2001,0.8615
01/08/2001,0.9014
01/09/2001,0.9114
01/10/2001,0.905
01/11/2001,0.8883
01/12/2001,0.8912
01/01/2002,0.8832
01/02/2002,0.8707
01/03/2002,0.8766
01/04/2002,0.886
01/05/2002,0.917
01/06/2002,0.9561
01/07/2002,0.9935
01/08/2002,0.9781
01/09/2002,0.9806
01/10/2002,0.9812
01/11/2002,1.0013
01/12/2002,1.0194
01/01/2003,1.0622
01/02/2003,1.0785
01/03/2003,1.0797
01/04/2003,1.0862
01/05/2003,1.1556
01/06/2003,1.1674
01/07/2003,1.1365
01/08/2003,1.1155
01/09/2003,1.1267
01/10/2003,1.1714
01/11/2003,1.171
01/12/2003,1.2298
01/01/2004,1.2638
01/02/2004,1.264
01/03/2004,1.2261
01/04/2004,1.1989
01/05/2004,1.2
01/06/2004,1.2146
01/07/2004,1.2266
01/08/2004,1.2191
01/09/2004,1.2224
01/10/2004,1.2507
01/11/2004,1.2997
01/12/2004,1.3406
01/01/2005,1.3123
01/02/2005,1.3013
01/03/2005,1.3185
01/04/2005,1.2943
01/05/2005,1.2697
01/06/2005,1.2155
01/07/2005,1.2041
01/08/2005,1.2295
01/09/2005,1.2234
01/10/2005,1.2022
01/11/2005,1.1789
01/12/2005,1.1861
01/01/2006,1.2126
01/02/2006,1.194
01/03/2006,1.2028
01/04/2006,1.2273
01/05/2006,1.2767
01/06/2006,1.2661
01/07/2006,1.2681
01/08/2006,1.281
01/09/2006,1.2722
01/10/2006,1.2617
01/11/2006,1.2888
01/12/2006,1.3205
01/01/2007,1.2993
01/02/2007,1.308
01/03/2007,1.3246
01/04/2007,1.3513
01/05/2007,1.3518
01/06/2007,1.3421
01/07/2007,1.3726
01/08/2007,1.3626
01/09/2007,1.391
01/10/2007,1.4233
01/11/2007,1.4683
01/12/2007,1.4559
01/01/2008,1.4728
01/02/2008,1.4759
01/03/2008,1.552
01/04/2008,1.5754
01/05/2008,1.5554
01/06/2008,1.5562
01/07/2008,1.5759
01/08/2008,1.4955
01/09/2008,1.4342
01/10/2008,1.3266
01/11/2008,1.2744
01/12/2008,1.3511
01/01/2009,1.3244
01/02/2009,1.2797
01/03/2009,1.305
01/04/2009,1.3199
01/05/2009,1.3646
01/06/2009,1.4014
01/07/2009,1.4092
01/08/2009,1.4266
01/09/2009,1.4575
01/10/2009,1.4821
01/11/2009,1.4908
01/12/2009,1.4579
01/01/2010,1.4266
01/02/2010,1.368
01/03/2010,1.357
01/04/2010,1.3417
01/05/2010,1.2563
01/06/2010,1.2223
01/07/2010,1.2811
01/08/2010,1.2903
01/09/2010,1.3103
01/10/2010,1.3901
01/11/2010,1.3654
01/12/2010,1.3221
01/01/2011,1.3371
01/02/2011,1.3656
01/03/2011,1.402
01/04/2011,1.446
01/05/2011,1.4335
01/06/2011,1.4403
01/07/2011,1.4275
01/08/2011,1.4333
01/09/2011,1.3747
01/10/2011,1.3732
01/11/2011,1.3558
01/12/2011,1.3155
01/01/2012,1.291
01/02/2012,1.3238
01/03/2012,1.3208
01/04/2012,1.316
01/05/2012,1.2806
01/06/2012,1.2541
01/07/2012,1.2278
01/08/2012,1.2406
01/09/2012,1.2885
01/10/2012,1.2974
01/11/2012,1.2837
01/12/2012,1.3119
01/01/2013,1.3304
01/02/2013,1.3347
01/03/2013,1.2953
01/04/2013,1.3025
01/05/2013,1.2983
01/06/2013,1.3197
01/07/2013,1.3088
01/08/2013,1.3314
01/09/2013,1.3364
01/10/2013,1.3646
01/11/2013,1.3491
01/12/2013,1.3708
01/01/2014,1.3618
01/02/2014,1.3665
01/03/2014,1.3828
01/04/2014,1.381
01/05/2014,1.3739
01/06/2014,1.3595
01/07/2014,1.3533
01/08/2014,1.3315
01/09/2014,1.2889
01/10/2014,1.2677
01/11/2014,1.2473
01/12/2014,1.2329
01/01/2015,1.1615
01/02/2015,1.135
01/03/2015,1.0819
01/04/2015,1.0822
01/05/2015,1.1167
01/06/2015,1.1226
01/07/2015,1.0997
01/08/2015,1.1136
01/09/2015,1.1229
01/10/2015,1.1228
01/11/2015,1.0727
01/12/2015,1.0889
01/01/2016,1.0855
01/02/2016,1.1092
01/03/2016,1.1134
01/04/2016,1.1346
01/05/2016,1.1328
